Probe,Chromosome,Start,End,Probe Strand,Feature,ID,Description,Feature Strand,Type,Feature Orientation,Distance,SRR4190177.sorted.bam
Chr22:43795501-43796700,22,43795501,43796700,,EFCAB6,ENSG00000186976.14,No description,-,Genegene,overlapping,0,12.2920332
Chr16:82117201-82118250,16,82117201,82118250,,AC092142.1,ENSG00000261235.1,No description,-,Genegene,overlapping,0,12.29088306
Chr16:85499251-85500450,16,85499251,85500450,,GSE1,ENSG00000131149.18,No description,+,Genegene,overlapping,0,12.26444149
Chr16:87822901-87825000,16,87822901,87825000,,null,,,,,Not found,0,12.25679874
Chr2:173138401-173140050,2,173138401,173140050,,MAP3K20,ENSG00000091436.16,No description,+,Genegene,overlapping,0,12.2517786
Chr12:89858251-89859600,12,89858251,89859600,,null,,,,,Not found,0,12.24466133
Chr14:34249651-34251300,14,34249651,34251300,,EGLN3,ENSG00000129521.13,No description,-,Genegene,overlapping,0,12.21947002
Chr1:114518701-114520200,1,114518701,114520200,,null,,,,,Not found,0,12.19044304
Chr3:14454001-14455800,3,14454001,14455800,,SLC6A6,ENSG00000131389.17,No description,+,Genegene,overlapping,0,12.17273903
Chr1:91565101-91566600,1,91565101,91566600,,null,,,,,Not found,0,12.1633358
Chr9:92491801-92493600,9,92491801,92493600,,CENPP,ENSG00000188312.13,No description,+,Genegene,overlapping,0,12.13378429
Chr2:65526901-65528400,2,65526901,65528400,,AC007389.1,ENSG00000204929.12,No description,+,Genegene,overlapping,0,12.12541389
Chr14:32978251-32979750,14,32978251,32979750,,NPAS3,ENSG00000151322.18,No description,+,Genegene,overlapping,0,12.11439323
Chr7:45915451-45916650,7,45915451,45916650,,IGFBP3,ENSG00000146674.14,No description,-,Genegene,overlapping,0,12.11406708
Chr5:67840051-67842450,5,67840051,67842450,,AC106798.1,ENSG00000250421.5,No description,-,Genegene,overlapping,0,12.1095047
Chr1:145726201-145727400,1,145726201,145727400,,CD160,ENSG00000117281.15,No description,+,Genegene,overlapping,0,12.08978176
Chr9:111245701-111246750,9,111245701,111246750,,AL162414.1,ENSG00000227531.1,No description,-,Genegene,overlapping,0,12.08944988
Chr12:3622951-3624450,12,3622951,3624450,,CRACR2A,ENSG00000130038.9,No description,-,Genegene,overlapping,0,12.08480835
Chr1:17563501-17564700,1,17563501,17564700,,ARHGEF10L,ENSG00000074964.16,No description,+,Genegene,overlapping,0,12.07481098
Chr4:6416551-6417750,4,6416551,6417750,,PPP2R2C,ENSG00000074211.13,No description,-,Genegene,overlapping,0,12.07012081
Chr13:86163151-86164500,13,86163151,86164500,,AL354994.1,ENSG00000232252.1,No description,+,Genegene,overlapping,0,12.05460358
Chr1:1008601-1010100,1,1008601,1010100,,ISG15,ENSG00000187608.9,No description,+,Genegene,overlapping,0,12.03754711
Chr14:37324351-37327050,14,37324351,37327050,,MIPOL1,ENSG00000151338.18,No description,+,Genegene,overlapping,0,12.0122757
Chr8:116878951-116880450,8,116878951,116880450,,null,,,,,Not found,0,12.00562477
Chr17:39571351-39572850,17,39571351,39572850,,null,,,,,Not found,0,11.99964809
Chr21:41356201-41358000,21,41356201,41358000,,FAM3B,ENSG00000183844.16,No description,+,Genegene,overlapping,0,11.98903942
Chr7:101587801-101589000,7,101587801,101589000,,null,,,,,Not found,0,11.98619747
Chr22:25795951-25797600,22,25795951,25797600,,MYO18B,ENSG00000133454.15,No description,+,Genegene,overlapping,0,11.98299313
Chr22:40048651-40050300,22,40048651,40050300,,TNRC6B,ENSG00000100354.20,No description,+,Genegene,overlapping,0,11.97549057
Chr12:116827501-116829000,12,116827501,116829000,,RNFT2,ENSG00000135119.14,No description,+,Genegene,overlapping,0,11.96614552
Chr5:180022201-180024600,5,180022201,180024600,,RNF130,ENSG00000113269.13,No description,-,Genegene,overlapping,0,11.96036434
Chr20:49182601-49183650,20,49182601,49183650,,STAU1,ENSG00000124214.19,No description,-,Genegene,overlapping,0,11.96000195
Chr2:38301301-38305200,2,38301301,38305200,,ATL2,ENSG00000119787.13,No description,-,Genegene,overlapping,0,11.93994617
Chr20:35215201-35216400,20,35215201,35216400,,PROCR,ENSG00000101000.5,No description,+,Genegene,overlapping,0,11.93994617
Chr7:41546851-41548200,7,41546851,41548200,,null,,,,,Not found,0,11.93258381
Chr21:36106651-36107700,21,36106651,36107700,,AP000688.1,ENSG00000230212.6,No description,-,Genegene,overlapping,0,11.93184566
Chr8:37001851-37003500,8,37001851,37003500,,null,,,,,Not found,0,11.92407036
Chr5:82768501-82770450,5,82768501,82770450,,null,,,,,Not found,0,11.92072582
Chr17:49021351-49022550,17,49021351,49022550,,IGF2BP1,ENSG00000159217.9,No description,+,Genegene,overlapping,0,11.91513252
Chr2:11679151-11680500,2,11679151,11680500,,LPIN1,ENSG00000134324.11,No description,+,Genegene,overlapping,0,11.88340664
Chr3:133758151-133759500,3,133758151,133759500,,TF,ENSG00000091513.15,No description,+,Genegene,overlapping,0,11.8780508
Chr8:22596151-22597500,8,22596151,22597500,,PDLIM2,ENSG00000120913.23,No description,+,Genegene,overlapping,0,11.8780508
Chr8:144098851-144101400,8,144098851,144101400,,SHARPIN,ENSG00000179526.16,No description,-,Genegene,overlapping,0,11.87459755
Chr14:95522401-95523750,14,95522401,95523750,,null,,,,,Not found,0,11.87036514
Chr16:21522301-21524550,16,21522301,21524550,,SMG1P3,ENSG00000180747.15,No description,-,Genegene,downstream,1857,11.85525799
Chr16:85339351-85340700,16,85339351,85340700,,GSE1,ENSG00000131149.18,No description,+,Genegene,overlapping,0,11.85330963
Chr8:33102301-33103350,8,33102301,33103350,,null,,,,,Not found,0,11.83407497
Chr8:110551351-110552850,8,110551351,110552850,,null,,,,,Not found,0,11.81898212
Chr10:62607751-62609400,10,62607751,62609400,,ZNF365,ENSG00000138311.16,No description,+,Genegene,overlapping,0,11.81137466
Chr12:6472351-6473700,12,6472351,6473700,,VAMP1,ENSG00000139190.16,No description,-,Genegene,downstream,1364,11.80574322
Chr2:238467301-238468350,2,238467301,238468350,,null,,,,,Not found,0,11.7984724
Chr14:91742401-91743600,14,91742401,91743600,,CATSPERB,ENSG00000133962.7,No description,-,Genegene,overlapping,0,11.76321316
Chr3:188816251-188817600,3,188816251,188817600,,LPP,ENSG00000145012.13,No description,+,Genegene,overlapping,0,11.74777317
Chr1:204732451-204733500,1,204732451,204733500,,null,,,,,Not found,0,11.74525356
Chr7:2727451-2729550,7,2727451,2729550,,AMZ1,ENSG00000174945.13,No description,+,Genegene,overlapping,0,11.74357224
Chr7:101615701-101617050,7,101615701,101617050,,MYL10,ENSG00000106436.6,No description,-,Genegene,overlapping,0,11.72621918
Chr20:47313901-47316150,20,47313901,47316150,,ZMYND8,ENSG00000101040.19,No description,-,Genegene,overlapping,0,11.72280788
Chr15:71396551-71397750,15,71396551,71397750,,THSD4,ENSG00000187720.14,No description,+,Genegene,overlapping,0,11.70994473
Chr22:30931801-30933150,22,30931801,30933150,,MORC2-AS1,ENSG00000235989.3,No description,+,Genegene,overlapping,0,11.70994473
Chr8:102527251-102528600,8,102527251,102528600,,AP002852.1,ENSG00000253633.1,No description,+,Genegene,downstream,140,11.69740105
Chr16:70170151-70171200,16,70170151,70171200,,AC009060.1,ENSG00000247228.2,No description,-,Genegene,overlapping,0,11.69609833
Chr6:149748601-149749650,6,149748601,149749650,,NUP43,ENSG00000120253.13,No description,-,Genegene,overlapping,0,11.69566345
Chr16:87893851-87895650,16,87893851,87895650,,CA5A,ENSG00000174990.5,No description,-,Genegene,overlapping,0,11.68956184
Chr14:91883851-91885350,14,91883851,91885350,,FBLN5,ENSG00000140092.14,No description,-,Genegene,overlapping,0,11.68825054
Chr21:46806001-46807500,21,46806001,46807500,,null,,,,,Not found,0,11.68167782
Chr10:42383251-42386250,10,42383251,42386250,,null,,,,,Not found,0,11.67948055
Chr3:176671051-176672250,3,176671051,176672250,,AC092920.1,ENSG00000232461.1,No description,-,Genegene,overlapping,0,11.67683887
Chr14:22740901-22742100,14,22740901,22742100,,AL160314.2,ENSG00000258458.6,No description,-,Genegene,overlapping,0,11.66133308
Chr1:38258701-38260350,1,38258701,38260350,,null,,,,,Not found,0,11.65194798
Chr3:194041201-194042400,3,194041201,194042400,,LINC02028,ENSG00000230102.7,No description,-,Genegene,overlapping,0,11.63888836
Chr17:75281701-75285450,17,75281701,75285450,,SLC25A19,ENSG00000125454.11,No description,-,Genegene,overlapping,0,11.6339035
Chr8:97957501-97959450,8,97957501,97959450,,MATN2,ENSG00000132561.13,No description,+,Genegene,overlapping,0,11.63208675
Chr7:105279601-105281250,7,105279601,105281250,,SRPK2,ENSG00000135250.16,No description,-,Genegene,overlapping,0,11.6101017
Chr1:12608551-12610500,1,12608551,12610500,,DHRS3,ENSG00000162496.8,No description,-,Genegene,overlapping,0,11.60594273
Chr7:101646601-101648250,7,101646601,101648250,,null,,,,,Not found,0,11.60548019
Chr3:63918001-63920250,3,63918001,63920250,,ATXN7,ENSG00000285258.1,No description,+,Genegene,overlapping,0,11.60501671
Chr3:134045701-134047200,3,134045701,134047200,,SLCO2A1,ENSG00000174640.13,No description,-,Genegene,overlapping,0,11.59525776
Chr15:64188601-64189800,15,64188601,64189800,,CSNK1G1,ENSG00000169118.17,No description,-,Genegene,overlapping,0,11.59432411
Chr18:18909751-18911100,18,18909751,18911100,,null,,,,,Not found,0,11.59198952
Chr11:69065701-69066600,11,69065701,69066600,,TPCN2,ENSG00000162341.16,No description,+,Genegene,overlapping,0,11.58777714
Chr7:47581351-47582400,7,47581351,47582400,,TNS3,ENSG00000136205.16,No description,-,Genegene,overlapping,0,11.57222652
Chr16:83945551-83946900,16,83945551,83946900,,AC009119.2,ENSG00000260300.5,No description,+,Genegene,overlapping,0,11.55650616
Chr2:106138801-106140000,2,106138801,106140000,,UXS1,ENSG00000115652.14,No description,-,Genegene,overlapping,0,11.53284264
Chr11:30542851-30544050,11,30542851,30544050,,MPPED2,ENSG00000066382.16,No description,-,Genegene,overlapping,0,11.53186893
Chr10:127312951-127314000,10,127312951,127314000,,DOCK1,ENSG00000150760.12,No description,+,Genegene,overlapping,0,11.52796555
Chr11:69951901-69953100,11,69951901,69953100,,null,,,,,Not found,0,11.50531483
Chr4:63672151-63673500,4,63672151,63673500,,null,,,,,Not found,0,11.4983511
Chr10:126074251-126075450,10,126074251,126075450,,ADAM12,ENSG00000148848.14,No description,-,Genegene,overlapping,0,11.49185276
Chr14:100056601-100058100,14,100056601,100058100,,EVL,ENSG00000196405.12,No description,+,Genegene,overlapping,0,11.4878397
Chr19:3389551-3390750,19,3389551,3390750,,NFIC,ENSG00000141905.18,No description,+,Genegene,overlapping,0,11.4752264
Chr2:11672101-11673300,2,11672101,11673300,,AC106875.2,ENSG00000276411.1,No description,-,Genegene,upstream,664,11.46607685
Chr20:36772051-36774150,20,36772051,36774150,,DSN1,ENSG00000149636.15,No description,-,Genegene,overlapping,0,11.45943165
Chr4:75504301-75505950,4,75504301,75505950,,RCHY1,ENSG00000163743.13,No description,-,Genegene,overlapping,0,11.45686817
Chr16:49044001-49045200,16,49044001,49045200,,null,,,,,Not found,0,11.44553185
Chr19:19660051-19661700,19,19660051,19661700,,ATP13A1,ENSG00000105726.16,No description,-,Genegene,overlapping,0,11.44086933
Chr10:113813401-113814750,10,113813401,113814750,,null,,,,,Not found,0,11.4356699
Chr17:72753301-72755100,17,72753301,72755100,,SLC39A11,ENSG00000133195.11,No description,-,Genegene,overlapping,0,11.42101288
Chr8:128923051-128924400,8,128923051,128924400,,CCDC26,ENSG00000229140.9,No description,-,Genegene,overlapping,0,11.41679764
Chr19:16574401-16575450,19,16574401,16575450,,AC008764.1,ENSG00000141979.4,No description,-,Genegene,overlapping,0,11.41203976
Chr14:100603201-100604550,14,100603201,100604550,,null,,,,,Not found,0,11.40673637
Chr5:132584701-132585900,5,132584701,132585900,,AC116366.3,ENSG00000283782.2,No description,+,Genegene,overlapping,0,11.40460873
Chr1:15303451-15304500,1,15303451,15304500,,FHAD1,ENSG00000142621.19,No description,+,Genegene,overlapping,0,11.40354538
Chr15:80971351-80972700,15,80971351,80972700,,MESD,ENSG00000117899.10,No description,-,Genegene,overlapping,0,11.37883663
Chr22:43129951-43131150,22,43129951,43131150,,BIK,ENSG00000100290.2,No description,+,Genegene,upstream,239,11.37883663
Chr13:113567101-113568450,13,113567101,113568450,,null,,,,,Not found,0,11.37666798
Chr17:38174401-38175750,17,38174401,38175750,,null,,,,,Not found,0,11.34762192
Chr1:109788451-109789650,1,109788451,109789650,,null,,,,,Not found,0,11.34651375
Chr17:72765451-72767850,17,72765451,72767850,,SLC39A11,ENSG00000133195.11,No description,-,Genegene,overlapping,0,11.34263039
Chr8:21349351-21351000,8,21349351,21351000,,null,,,,,Not found,0,11.34096241
Chr22:46887451-46888500,22,46887451,46888500,,TBC1D22A,ENSG00000054611.13,No description,+,Genegene,overlapping,0,11.33929348
Chr20:46429201-46430850,20,46429201,46430850,,ELMO2,ENSG00000062598.17,No description,-,Genegene,overlapping,0,11.33706379
Chr12:833701-835050,12,833701,835050,,WNK1,ENSG00000060237.16,No description,+,Genegene,overlapping,0,11.33539009
Chr22:39878401-39879450,22,39878401,39879450,,ENTHD1,ENSG00000176177.9,No description,-,Genegene,overlapping,0,11.33315563
Chr19:1169701-1171050,19,1169701,1171050,,SBNO2,ENSG00000064932.15,No description,-,Genegene,overlapping,0,11.3309164
Chr2:44330401-44331600,2,44330401,44331600,,PREPL,ENSG00000138078.15,No description,-,Genegene,overlapping,0,11.3241806
Chr14:24133651-24135300,14,24133651,24135300,,FITM1,ENSG00000139914.6,No description,+,Genegene,upstream,802,11.31118107
Chr2:216846901-216848100,2,216846901,216848100,,AC007563.2,ENSG00000236886.2,No description,+,Genegene,overlapping,0,11.31004524
Chr12:26254051-26255100,12,26254051,26255100,,SSPN,ENSG00000123096.11,No description,+,Genegene,overlapping,0,11.30263901
Chr7:4722451-4724100,7,4722451,4724100,,FOXK1,ENSG00000164916.10,No description,+,Genegene,overlapping,0,11.30149555
Chr13:93885901-93886950,13,93885901,93886950,,GPC6,ENSG00000183098.10,No description,+,Genegene,overlapping,0,11.28424644
Chr3:77611651-77612850,3,77611651,77612850,,ROBO2,ENSG00000185008.17,No description,+,Genegene,overlapping,0,11.28366661
Chr22:43786951-43788000,22,43786951,43788000,,EFCAB6,ENSG00000186976.14,No description,-,Genegene,overlapping,0,11.27845001
Chr17:80746951-80748000,17,80746951,80748000,,RPTOR,ENSG00000141564.14,No description,+,Genegene,overlapping,0,11.27496052
Chr9:97544851-97546200,9,97544851,97546200,,TMOD1,ENSG00000136842.13,No description,+,Genegene,overlapping,0,11.27321339
Chr1:151488451-151489800,1,151488451,151489800,,null,,,,,Not found,0,11.27029514
Chr22:29209351-29210550,22,29209351,29210550,,EMID1,ENSG00000186998.15,No description,+,Genegene,overlapping,0,11.26385593
Chr17:17417401-17419050,17,17417401,17419050,,null,,,,,Not found,0,11.25915432
Chr1:51786751-51787800,1,51786751,51787800,,OSBPL9,ENSG00000117859.18,No description,+,Genegene,overlapping,0,11.2532568
Chr20:58562851-58564200,20,58562851,58564200,,APCDD1L-DT,ENSG00000231290.5,No description,+,Genegene,overlapping,0,11.25207424
Chr11:67785601-67786650,11,67785601,67786650,,ALG1L8P,ENSG00000227620.4,No description,+,Genegene,overlapping,0,11.24138737
Chr6:6703651-6704700,6,6703651,6704700,,AL031123.1,ENSG00000226281.3,No description,-,Genegene,overlapping,0,11.23002052
Chr16:88989751-88991100,16,88989751,88991100,,AC135782.2,ENSG00000259989.1,No description,+,Genegene,overlapping,0,11.22641277
Chr1:182991751-182993700,1,182991751,182993700,,null,,,,,Not found,0,11.22460461
Chr1:75117751-75118950,1,75117751,75118950,,null,,,,,Not found,0,11.22339821
Chr1:199985101-199986750,1,199985101,199986750,,null,,,,,Not found,0,11.22098255
Chr5:67829851-67830900,5,67829851,67830900,,AC106798.1,ENSG00000250421.5,No description,-,Genegene,overlapping,0,11.21735191
Chr6:159125551-159127200,6,159125551,159127200,,null,,,,,Not found,0,11.21735191
Chr14:41284801-41286750,14,41284801,41286750,,null,,,,,Not found,0,11.20640373
Chr9:91144501-91145550,9,91144501,91145550,,LINC00484,ENSG00000229694.6,No description,+,Genegene,overlapping,0,11.20457172
Chr2:157981351-157982700,2,157981351,157982700,,UPP2,ENSG00000007001.12,No description,+,Genegene,overlapping,0,11.1996727
Chr19:39204751-39205800,19,39204751,39205800,,SYCN,ENSG00000179751.6,No description,-,Genegene,downstream,485,11.19905853
Chr11:44322001-44323950,11,44322001,44323950,,null,,,,,Not found,0,11.18549538
Chr17:55162051-55164150,17,55162051,55164150,,STXBP4,ENSG00000166263.13,No description,+,Genegene,overlapping,0,11.1842556
Chr11:66829351-66831000,11,66829351,66831000,,C11orf80,ENSG00000173715.16,No description,+,Genegene,overlapping,0,11.18363571
Chr2:11670751-11671800,2,11670751,11671800,,NTSR2,ENSG00000169006.6,No description,-,Genegene,downstream,587,11.17804241
Chr2:70843051-70844100,2,70843051,70844100,,null,,,,,Not found,0,11.17617321
Chr4:141171001-141172050,4,141171001,141172050,,RNF150,ENSG00000170153.10,No description,-,Genegene,overlapping,0,11.1749258
Chr22:29913001-29914200,22,29913001,29914200,,MTMR3,ENSG00000100330.15,No description,+,Genegene,overlapping,0,11.1749258
Chr12:124876501-124878300,12,124876501,124878300,,SCARB1,ENSG00000073060.15,No description,-,Genegene,overlapping,0,11.16239166
Chr17:38738251-38739150,17,38738251,38739150,,PCGF2,ENSG00000277258.4,No description,-,Genegene,overlapping,0,11.15291882
Chr21:38935951-38937900,21,38935951,38937900,,AP001043.1,ENSG00000205622.9,No description,-,Genegene,overlapping,0,11.15291882
Chr12:125478001-125479350,12,125478001,125479350,,TMEM132B,ENSG00000139364.10,No description,+,Genegene,overlapping,0,11.15165043
Chr14:46359601-46362450,14,46359601,46362450,,LINC00871,ENSG00000258700.5,No description,+,Genegene,overlapping,0,11.14784145
Chr14:90969751-90971100,14,90969751,90971100,,RPS6KA5,ENSG00000100784.11,No description,-,Genegene,overlapping,0,11.14784145
Chr21:43479751-43480800,21,43479751,43480800,,LINC00313,ENSG00000185186.8,No description,-,Genegene,downstream,217,11.1369915
Chr2:70171651-70174800,2,70171651,70174800,,C2orf42,ENSG00000115998.7,No description,-,Genegene,overlapping,0,11.12670422
Chr5:66531151-66532350,5,66531151,66532350,,null,,,,,Not found,0,11.1247673
Chr20:46539601-46541850,20,46539601,46541850,,OCSTAMP,ENSG00000149635.2,No description,-,Genegene,overlapping,0,11.1247673
Chr3:13517101-13518600,3,13517101,13518600,,null,,,,,Not found,0,11.12088585
Chr16:376801-378000,16,376801,378000,,TMEM8A,ENSG00000129925.10,No description,-,Genegene,overlapping,0,11.1169939
Chr14:64701151-64702650,14,64701151,64702650,,PLEKHG3,ENSG00000126822.16,No description,+,Genegene,downstream,1452,11.11634445
Chr2:171094801-171096300,2,171094801,171096300,,TLK1,ENSG00000198586.13,No description,-,Genegene,overlapping,0,11.11504364
Chr5:131713951-131715150,5,131713951,131715150,,AC008695.1,ENSG00000273217.1,No description,-,Genegene,overlapping,0,11.10197544
Chr14:49812151-49813200,14,49812151,49813200,,NEMF,ENSG00000165525.17,No description,-,Genegene,overlapping,0,11.10000515
Chr22:48320251-48321600,22,48320251,48321600,,null,,,,,Not found,0,11.09869003
Chr19:34120051-34121400,19,34120051,34121400,,null,,,,,Not found,0,11.09473801
Chr2:189715201-189716250,2,189715201,189716250,,ANKAR,ENSG00000151687.14,No description,+,Genegene,overlapping,0,11.08878803
